Region,countryName,Coverage,CountryCode,SurveyTime,CPI_Time,DataType,SurveyMean_LCU,currency,source,SurveyID,SurveyMean_PPP,DistributionFileName,Comment
SSA,Angola,National,AGO,2000.21,2000,x,341.6594189,,GPWG,AGON2000x,,AGON2000x.pcb,
SSA,Angola,National,AGO,2008.5,2008,x,6449.216378,,GPWG,AGON2008x,,AGON2008x.pcb,
SSA,Angola,National,AGO,2018.17,2018,x,22019.49252,,GPWG,AGON2018x,,AGON2018x.pcb,
ECA,Albania,National,ALB,1996,1996,x,4856.065381,,GPWG,ALBN1996x,,ALBN1996x.pcb,
ECA,Albania,National,ALB,2002,2002,x,8713.911745,,GPWG,ALBN2002x,,ALBN2002x.pcb,
ECA,Albania,National,ALB,2005,2005,x,10585.23205,,GPWG,ALBN2005x,,ALBN2005x.pcb,
ECA,Albania,National,ALB,2008,2008,x,12609.6619,,GPWG,ALBN2008x,,ALBN2008x.pcb,
ECA,Albania,National,ALB,2012,2012,x,13370.30112,,GPWG,ALBN2012x,,ALBN2012x.pcb,
ECA,Albania,National,ALB,2014,2014,x,14759.2187,,GPWG,ALBN2014x,,ALBN2014x.pcb,
ECA,Albania,National,ALB,2015,2015,x,15214.48604,,GPWG,ALBN2015x,,ALBN2015x.pcb,
ECA,Albania,National,ALB,2016,2016,x,15713.62319,,GPWG,ALBN2016x,,ALBN2016x.pcb,
ECA,Albania,National,ALB,2017,2017,x,15917.95411,,GPWG,ALBN2017x,,ALBN2017x.pcb,
OHI,United Arab Emirates,National,ARE,2013.42,2013,Y,5716.350033,,group data,AREN2013Y,,AREN2013Y.t05,
OHI,United Arab Emirates,National,ARE,2018,2018,Y,7001.009638,,group data,AREN2018Y,,AREN2018Y.t05,
LAC,Argentina,Urban,ARG,1980,1980,y,586,,Last round,ARGU1980y,662.76,argen80.T05,
LAC,Argentina,Urban,ARG,1986,1986,y,162.6630851,,GPWG,ARGU1986y,,ARGU1986y.pcb,
LAC,Argentina,Urban,ARG,1987,1987,y,343.9606427,,GPWG,ARGU1987y,,ARGU1987y.pcb,
LAC,Argentina,Urban,ARG,1991,1991,y,2466468.726,,GPWG,ARGU1991y,,ARGU1991y.pcb,
LAC,Argentina,Urban,ARG,1992,1992,y,293.4826957,,GPWG,ARGU1992y,,ARGU1992y.pcb,
LAC,Argentina,Urban,ARG,1993,1993,y,320.1909615,,GPWG,ARGU1993y,,ARGU1993y.pcb,
LAC,Argentina,Urban,ARG,1994,1994,y,328.0061775,,GPWG,ARGU1994y,,ARGU1994y.pcb,
LAC,Argentina,Urban,ARG,1995,1995,y,318.3386891,,GPWG,ARGU1995y,,ARGU1995y.pcb,
LAC,Argentina,Urban,ARG,1996,1996,y,312.4887676,,GPWG,ARGU1996y,,ARGU1996y.pcb,
LAC,Argentina,Urban,ARG,1997,1997,y,329.3063336,,GPWG,ARGU1997y,,ARGU1997y.pcb,
LAC,Argentina,Urban,ARG,1998,1998,y,323.3091472,,GPWG,ARGU1998y,,ARGU1998y.pcb,
LAC,Argentina,Urban,ARG,1999,1999,y,301.9248644,,GPWG,ARGU1999y,,ARGU1999y.pcb,
LAC,Argentina,Urban,ARG,2000,2000,y,293.2553729,,GPWG,ARGU2000y,,ARGU2000y.pcb,
LAC,Argentina,Urban,ARG,2001,2001,y,266.9893457,,GPWG,ARGU2001y,,ARGU2001y.pcb,
LAC,Argentina,Urban,ARG,2002,2002,y,259.7297257,,GPWG,ARGU2002y,,ARGU2002y.pcb,
LAC,Argentina,Urban,ARG,2003,2003,y,382.0238002,,GPWG,ARGU2003y,,ARGU2003y.pcb,
LAC,Argentina,Urban,ARG,2004,2004,y,434.6871053,,GPWG,ARGU2004y,,ARGU2004y.pcb,
LAC,Argentina,Urban,ARG,2005,2005,y,529.6134152,,GPWG,ARGU2005y,,ARGU2005y.pcb,
LAC,Argentina,Urban,ARG,2006,2006,y,647.2625677,,GPWG,ARGU2006y,,ARGU2006y.pcb,
LAC,Argentina,Urban,ARG,2007,2007,y,817.302875,,GPWG,ARGU2007y,,ARGU2007y.pcb,
LAC,Argentina,Urban,ARG,2008,2008,y,1049.93922,,GPWG,ARGU2008y,,ARGU2008y.pcb,
LAC,Argentina,Urban,ARG,2009,2009,y,1238.202413,,GPWG,ARGU2009y,,ARGU2009y.pcb,
LAC,Argentina,Urban,ARG,2010,2010,y,1589.631168,,GPWG,ARGU2010y,,ARGU2010y.pcb,
LAC,Argentina,Urban,ARG,2011,2011,y,2057.394401,,GPWG,ARGU2011y,,ARGU2011y.pcb,
LAC,Argentina,Urban,ARG,2012,2012,y,2555.168697,,GPWG,ARGU2012y,,ARGU2012y.pcb,
LAC,Argentina,Urban,ARG,2013,2013,y,3250.341846,,GPWG,ARGU2013y,,ARGU2013y.pcb,
LAC,Argentina,Urban,ARG,2014,2014,y,4269.8379,,GPWG,ARGU2014y,,ARGU2014y.pcb,
LAC,Argentina,Urban,ARG,2016,2016,y,7905.27284,,GPWG,ARGU2016y,,ARGU2016y.pcb,
LAC,Argentina,Urban,ARG,2017,2017,y,10212.65037,,GPWG,ARGU2017y,,ARGU2017y.pcb,
LAC,Argentina,Urban,ARG,2018,2018,y,13067.97308,,GPWG,ARGU2018y,,ARGU2018y.pcb,
LAC,Argentina,Urban,ARG,2019,2019,y,19510.54797,,GPWG,ARGU2019y,,ARGU2019y.pcb,
ECA,Armenia,National,ARM,1996,1996,y,14576.54,,Last round,ARMN1996y,162.45,ARMEN96X.T05,
ECA,Armenia,National,ARM,1999,1999,x,13692.60983,,GPWG,ARMN1999x,,ARMN1999x.pcb,
ECA,Armenia,National,ARM,2001,2001,x,13313.77109,,GPWG,ARMN2001x,,ARMN2001x.pcb,
ECA,Armenia,National,ARM,2002,2002,x,14113.74053,,GPWG,ARMN2002x,,ARMN2002x.pcb,
ECA,Armenia,National,ARM,2003,2003,x,15190.7853,,GPWG,ARMN2003x,,ARMN2003x.pcb,
ECA,Armenia,National,ARM,2004,2004,x,20144.30334,,GPWG,ARMN2004x,,ARMN2004x.pcb,
ECA,Armenia,National,ARM,2005,2005,x,22338.78842,,GPWG,ARMN2005x,,ARMN2005x.pcb,
ECA,Armenia,National,ARM,2006,2006,x,22185.19448,,GPWG,ARMN2006x,,ARMN2006x.pcb,
ECA,Armenia,National,ARM,2007,2007,x,25802.67128,,GPWG,ARMN2007x,,ARMN2007x.pcb,
ECA,Armenia,National,ARM,2008,2008,x,28733.46213,,GPWG,ARMN2008x,,ARMN2008x.pcb,
ECA,Armenia,National,ARM,2009,2009,x,26407.78571,,GPWG,ARMN2009x,,ARMN2009x.pcb,
ECA,Armenia,National,ARM,2010,2010,x,29165.77143,,GPWG,ARMN2010x,,ARMN2010x.pcb,
ECA,Armenia,National,ARM,2011,2011,x,32051.05122,,GPWG,ARMN2011x,,ARMN2011x.pcb,
ECA,Armenia,National,ARM,2012,2012,x,34052.20715,,GPWG,ARMN2012x,,ARMN2012x.pcb,
ECA,Armenia,National,ARM,2013,2013,x,37378.47923,,GPWG,ARMN2013x,,ARMN2013x.pcb,
ECA,Armenia,National,ARM,2014,2014,x,39479.87969,,GPWG,ARMN2014x,,ARMN2014x.pcb,
ECA,Armenia,National,ARM,2015,2015,x,43902.55115,,GPWG,ARMN2015x,,ARMN2015x.pcb,
ECA,Armenia,National,ARM,2016,2016,x,45569.42348,,GPWG,ARMN2016x,,ARMN2016x.pcb,
ECA,Armenia,National,ARM,2017,2017,x,44765.76256,,GPWG,ARMN2017x,,ARMN2017x.pcb,
ECA,Armenia,National,ARM,2018,2018,x,45882.56986,,GPWG,ARMN2018x,,ARMN2018x.pcb,
ECA,Armenia,National,ARM,2019,2019,x,46764.88135,,GPWG,ARMN2019x,,ARMN2019x.pcb,
OHI,Australia,National,AUS,1981,1981,y,462.790381,,LIS,AUSN1981y,,AUSN1981y.pcb,
OHI,Australia,National,AUS,1985,1985,y,650.1694212,,LIS,AUSN1985y,,AUSN1985y.pcb,
OHI,Australia,National,AUS,1989,1989,y,911.7946677,,LIS,AUSN1989y,,AUSN1989y.pcb,
OHI,Australia,National,AUS,1995,1995,y,1019.583674,,LIS,AUSN1995y,,AUSN1995y.pcb,
OHI,Australia,National,AUS,2001,2001,y,1348.633792,,LIS,AUSN2001y,,AUSN2001y.pcb,
OHI,Australia,National,AUS,2003,2003,y,1471.412993,,LIS,AUSN2003y,,AUSN2003y.pcb,
OHI,Australia,National,AUS,2004,2004,y,1638.995322,,LIS,AUSN2004y,,AUSN2004y.pcb,
OHI,Australia,National,AUS,2008,2008,y,2353.147617,,LIS,AUSN2008y,,AUSN2008y.pcb,
OHI,Australia,National,AUS,2010,2010,y,2455.842764,,LIS,AUSN2010y,,AUSN2010y.pcb,
OHI,Australia,National,AUS,2014,2014,y,2897.866884,,LIS,AUSN2014y,,AUSN2014y.pcb,
OHI,Austria,National,AUT,1987,1987,y,8997.082092,,LIS,AUTN1987y,,AUTN1987y.pcb,
OHI,Austria,National,AUT,1994,1994,y,12176.23456,,LIS,AUTN1994y,,AUTN1994y.pcb,
OHI,Austria,National,AUT,1995,1995,y,10613.94992,,LIS,AUTN1995y,,AUTN1995y.pcb,
OHI,Austria,National,AUT,1997,1997,y,12296.43109,,LIS,AUTN1997y,,AUTN1997y.pcb,
OHI,Austria,National,AUT,2000,2000,y,13545.89584,,LIS,AUTN2000y,,AUTN2000y.pcb,
OHI,Austria,National,AUT,2003,2003,y,1070.107641,,EU-SILC,AUTN2003y,,AUTN2003y.pcb,
OHI,Austria,National,AUT,2004,2004,y,1152.574283,,EU-SILC,AUTN2004y,,AUTN2004y.pcb,
OHI,Austria,National,AUT,2005,2005,y,1126.885854,,EU-SILC,AUTN2005y,,AUTN2005y.pcb,
OHI,Austria,National,AUT,2006,2006,y,1170.276608,,EU-SILC,AUTN2006y,,AUTN2006y.pcb,
OHI,Austria,National,AUT,2007,2007,y,1245.287679,,EU-SILC,AUTN2007y,,AUTN2007y.pcb,
OHI,Austria,National,AUT,2008,2008,y,1306.831645,,EU-SILC,AUTN2008y,,AUTN2008y.pcb,
OHI,Austria,National,AUT,2009,2009,y,1360.141665,,EU-SILC,AUTN2009y,,AUTN2009y.pcb,
OHI,Austria,National,AUT,2010,2010,y,1398.808898,,EU-SILC,AUTN2010y,,AUTN2010y.pcb,
OHI,Austria,National,AUT,2011,2011,y,1417.689092,,EU-SILC,AUTN2011y,,AUTN2011y.pcb,
OHI,Austria,National,AUT,2012,2012,y,1419.713499,,EU-SILC,AUTN2012y,,AUTN2012y.pcb,
OHI,Austria,National,AUT,2013,2013,y,1519.060135,,EU-SILC,AUTN2013y,,AUTN2013y.pcb,
OHI,Austria,National,AUT,2014,2014,y,1519.659059,,EU-SILC,AUTN2014y,,AUTN2014y.pcb,
OHI,Austria,National,AUT,2015,2015,y,1527.538891,,EU-SILC,AUTN2015y,,AUTN2015y.pcb,
OHI,Austria,National,AUT,2016,2016,y,1610.968632,,EU-SILC,AUTN2016y,,AUTN2016y.pcb,
OHI,Austria,National,AUT,2017,2017,y,1622.498108,,EU-SILC,AUTN2017y,,AUTN2017y.pcb,
OHI,Austria,National,AUT,2018,2018,y,1672.259305,,EU-SILC,AUTN2018y,,AUTN2018y.pcb,
ECA,Azerbaijan,National,AZE,1995,1995,x,111663.8079,,GPWG,AZEN1995x,,AZEN1995x.pcb,
ECA,Azerbaijan,National,AZE,2001,2001,x,158876.4292,,GPWG,AZEN2001x,,AZEN2001x.pcb,
ECA,Azerbaijan,National,AZE,2002,2002,x,206071.27,,GPWG,AZEN2002x,,AZEN2002x.pcb,
